X,Y,OBS,RTO09,RTO11,RTO13,ALT,IV1101,XCOORD,YCOORD
316961.5,6276687.5,175.00,3523.28658,3355.03389,4292.00,501.45370,0.57082,316961.500000,6276687.500000
316970.5,6276687.5,176.00,3879.13377,3764.66623,4468.00,501.49450,0.57127,316970.500000,6276687.500000
316979.5,6276687.5,177.00,3657.68465,3481.47456,4565.00,501.54160,0.57166,316979.500000,6276687.500000
316988.5,6276687.5,178.00,3461.47421,3257.16660,4885.00,501.59090,0.57174,316988.500000,6276687.500000
316997.5,6276687.5,179.00,3587.75845,3879.03337,5191.00,501.65225,0.57118,316997.500000,6276687.500000
317006.5,6276687.5,180.00,3233.07824,3444.70057,5005.00,501.69660,0.57044,317006.500000,6276687.500000
317024.5,6276687.5,181.00,3472.81784,4648.16832,4855.00,501.75530,0.56597,317024.500000,6276687.500000
317033.5,6276687.5,182.00,3250.86019,4461.18006,4410.00,501.79030,0.56081,317033.500000,6276687.500000
317042.5,6276687.5,183.00,2140.82961,4620.86138,5132.00,501.82860,0.55695,317042.500000,6276687.500000
317051.5,6276687.5,184.00,2067.44436,4430.70712,4894.00,501.87160,0.55720,317051.500000,6276687.500000
317060.5,6276687.5,185.00,3536.65039,3720.46614,4877.00,501.92050,0.56185,317060.500000,6276687.500000
317069.5,6276687.5,186.00,3578.71557,3949.30982,5258.00,501.97650,0.56697,317069.500000,6276687.500000
317078.5,6276687.5,187.00,3568.42543,4363.43009,4911.00,502.04350,0.57173,317078.500000,6276687.500000
317087.5,6276687.5,188.00,3512.77526,4298.90866,5095.00,502.14170,0.57596,317087.500000,6276687.500000
317096.5,6276687.5,189.00,3889.40248,4711.76153,5137.00,502.25080,0.57960,317096.500000,6276687.500000
317105.5,6276687.5,190.00,3823.76630,4692.08014,5013.00,502.36620,0.58212,317105.500000,6276687.500000
317114.5,6276687.5,191.00,3823.03793,4469.52063,5312.00,502.48540,0.58301,317114.500000,6276687.500000
317123.5,6276687.5,192.00,3686.91319,4649.12695,5244.00,502.65610,0.58303,317123.500000,6276687.500000
317132.5,6276687.5,193.00,3817.52661,4484.93895,4817.00,502.76980,0.58302,317132.500000,6276687.500000
